title,institution,city,state_province,country,type,duration_months,tuition_fee,currency,fee_basis,language,specialization,website_url,description,notes
Master of Information Technology,University of Melbourne,Melbourne,Victoria,Australia,Master,24,58976,AUD,annual,English,"Artificial Intelligence, Computing, Cybersecurity, Distributed Computing, Human-Computer Interaction",https://study.unimelb.edu.au/find/courses/graduate/master-of-information-technology,"Comprehensive IT program covering software development, AI, and distributed systems with strong industry projects.",
Master of Information Systems,University of Melbourne,Melbourne,Victoria,Australia,Master,24,58976,AUD,annual,English,"Business Process Management, IT Strategy, Information Systems, Data Analytics, Digital Transformation",https://study.unimelb.edu.au/find/courses/graduate/master-of-information-systems,Blend business and IT to drive organisational and technological change and transform the way the world works. The Master of Information Systems is suited for students who want the skillset to be tomorrowŐs digital thinkers and business leaders.,
Master of Software Engineering,University of Melbourne,Melbourne,Victoria,Australia,Master,24,62976,AUD,annual,English,"Software Architecture, Agile Development, Software Testing, Cloud Engineering, DevOps",https://study.unimelb.edu.au/find/courses/graduate/master-of-software-engineering,"Transform future business, health and communication with the Master of Software Engineering at AustraliaŐs leading university.* Learn best practice for every stage of the software development cycle from design and engineering to deployment.",
Master of Computer Science,University of Melbourne,Melbourne,Victoria,Australia,Master,24,62976,AUD,annual,English,"Knowledge Systems, Programming Languages, Distributed Computing, Spatial Information Science, AI",https://study.unimelb.edu.au/find/courses/graduate/master-of-computer-science,"The Master of Computer Science will give you a broad base of high-level knowledge to keep up with these advances, with specialist skills in at least one area of knowledge systems, programming languages and distributed computing, information systems, mathematics/statistics, spatial information science or linguistics.",
Master of Data Science,University of Melbourne,Melbourne,Victoria,Australia,Master,24,57984,AUD,annual,English,"Foundational Data Science, Statistical Data Science, Computational Data Science",https://study.unimelb.edu.au/find/courses/graduate/master-of-data-science,"Join the rapidly evolving field of data analytics and build your advanced statistics, machine learning, and programming skills. Build foundational technical and analytical skills for working with large, complex collections of data. And dive deeper with specialisation streams and a dedicated major data science project.",
Master of Data Science,The University of Sydney,Sydney,New South Wales,Australia,Master,18,57900,AUD,annual,English,"Data Mining, Machine Learning, Statistical Modelling, Data Visualisation, Big Data",https://www.sydney.edu.au/courses/courses/pc/master-of-data-science.html,"You will develop the analytical and technical skills to use data science to guide strategic decision making. Explore data mining, machine learning and data visualisation, and develop the skills to communicate data insights to key stakeholders effectively.",
Master of Computer Science,The University of Sydney,Sydney,New South Wales,Australia,Master,24,57900,AUD,annual,English,"Artificial Intelligence, Cybersecurity, Software Engineering, Networking, Distributed Systems",https://www.sydney.edu.au/courses/courses/pc/master-of-computer-science.html,"Gain expertise, skills and experience in information technology. By combining technical knowledge with real-world experience, graduate ready to develop innovative solutions that address challenges in generative AI, cybersecurity, programming, software engineering, network systems and more.",
Master of Cybersecurity,The University of Sydney,Sydney,New South Wales,Australia,Master,18,57900,AUD,annual,English,"Network Security, Digital Forensics, Cryptography, Risk Management, Cyber Threat Intelligence",https://www.sydney.edu.au/courses/courses/pc/master-of-cybersecurity.html,"Designed for professionals wanting to become leaders and technical experts within the field of cybersecurity, an industry projected to require 17,000 additional professionals in cybersecurity positions in the next five years.",
Master of Information Technology,Monash University,Melbourne,Victoria,Australia,Master,24,55000,AUD,annual,English,"Artificial Intelligence, Cybersecurity, Data Science, Software Development, Cloud Computing",https://www.monash.edu/study/courses/find-a-course/2025/information-technology-c6001,"At Monash, youŐll be hearing directly from AustraliaŐs best IT experts. Yes, youŐll be exposed to the latest technology and cutting-edge thinking. But more than that, weŐll train you to focus on the big challenges of our time and aim to create a positive impact when you can. This course is accredited by the Australian Computer Society (ACS).",
Master of Data Science,Monash University,Melbourne,Victoria,Australia,Master,24,55000,AUD,annual,English,"Machine Learning, Big Data Analytics, Statistical Modelling, Data Engineering, AI Applications",https://www.monash.edu/study/courses/find-a-course/2025/data-science-c6008,"Gain skills to manage, analyse and process data, expanding your knowledge of its analytical, organisational and computational aspects. Find innovative solutions to some of the biggest challenges facing the world today and make lives better. Help provide the evidence needed to change minds and transform businesses, communities and countries.",
Master of Computer Science,Australian National University,Canberra,ACT,Australia,Master,24,52000,AUD,annual,English,"Artificial Intelligence, Data Science, Advanced Computing, Software Systems, Human-Computer Interaction",https://programsandcourses.anu.edu.au/2026/program/mcomp,"Research-driven program focusing on AI, data science, and advanced computing technologies.",
Master of Data Science,University of Queensland,Brisbane,Queensland,Australia,Master,18,47000,AUD,annual,English,"Machine Learning, Big Data Analytics, Statistical Modelling, Data Visualisation, Business Intelligence",https://my.uq.edu.au/programs-courses/program.html?acad_prog=5544,"Focuses on big data analytics, machine learning, and statistical modeling for real-world applications.",
Master of Information Technology,University of New South Wales,Sydney,New South Wales,Australia,Master,24,52000,AUD,annual,English,"Cloud Computing, Cybersecurity, Data Science, Software Engineering, IT Management",https://www.unsw.edu.au/study/postgraduate/master-of-information-technology,Industry-aligned IT program with strong emphasis on cloud computing and cybersecurity.,
Master of Software Engineering,University of Technology Sydney,Sydney,New South Wales,Australia,Master,24,46000,AUD,annual,English,"Agile Software Development, Software Architecture, Cloud Systems, DevOps, Software Quality",https://www.uts.edu.au/study/find-a-course/courses/c04279,Practical software engineering program with agile development and real-world projects.,
Diploma of Information Technology,TAFE NSW,Sydney,New South Wales,Australia,Bootcamp,12,16000,AUD,annual,English,"Programming, Networking, Database Systems, Cybersecurity, Systems Administration",https://www.tafensw.edu.au/course/-/c/cuh6022v/diploma-of-information-technology,"Hands-on training in programming, networking, and database systems for entry-level IT careers.",
Coding Bootcamp,General Assembly,Sydney,New South Wales,Australia,Bootcamp,3,15000,AUD,total,English,"Web Development, JavaScript, Full-Stack Engineering, React, Software Engineering",https://generalassemb.ly/education/software-engineering-immersive,"Intensive coding bootcamp covering web development, JavaScript, and full-stack applications.",
Data Science Bootcamp,Le Wagon,Melbourne,Victoria,Australia,Bootcamp,3,14000,AUD,total,English,"Python, Machine Learning, Data Visualisation, Data Engineering, Deep Learning",https://www.lewagon.com/data-science-course,"Fast-paced data science program focusing on Python, machine learning, and data visualization.",
Master of Computing,Australian National University,Canberra,ACT,Australia,Master,24,56120,AUD,annual,English,"Software Development, Computing Practice, Cybersecurity, AI, Data Science",https://programsandcourses.anu.edu.au/2026/program/mcomp,"Professionally accredited computing degree covering software development and computing practice, suitable for students wanting to build or deepen computing knowledge.",
Master of Data Science,University of British Columbia,Vancouver,British Columbia,Canada,Master,10,59767.92,CAD,total,English,"Machine Learning, Data Wrangling, Statistical Reasoning, Collaborative Projects, Python",https://masterdatascience.ubc.ca,Intensive in-person data science program with strong technical training and real-world data experience.,
Master of Data Science and Artificial Intelligence,University of Waterloo,Waterloo,Ontario,Canada,Master,16,6210,CAD,per_term,English,"Machine Learning, Deep Learning, Statistical AI, Data Science, Applied AI",https://uwaterloo.ca/graduate-studies-postdoctoral-affairs/future-students/programs/data-science-and-artificial-intelligence-masters,Professional data science and AI program focused on practical and academic training; fee shown on the official tuition page is per course.,
Master of Science in Informatics,Technical University of Munich,Munich,Bavaria,Germany,Master,24,12000,EUR,annual,English,"Algorithms, Distributed Systems, Robotics, Computer Vision, Machine Learning",https://www.in.tum.de/en/informatics/programs/masters-programs/informatics,Research-oriented informatics degree with broad advanced computing study and strong technical depth.,
Master of Science in Software Systems Engineering,RWTH Aachen University,Aachen,North Rhine-Westphalia,Germany,Master,24,0,EUR,annual,English,"Software Engineering, Systems Architecture, Requirements Engineering, Model-Driven Engineering, Distributed Systems",https://www.rwth-aachen.de/cms/root/Die-RWTH/Studium/Im-Studium/Studiengaenge/~bimp/Software-Systems-Engineering-M-Sc-/,"English-taught software systems engineering master with no tuition fee, aside from semester contribution charges.",
Master of Information Technology,University of Auckland,Auckland,Auckland,New Zealand,Master,12,55214,NZD,annual,English,"Cybersecurity, Software Engineering, Data Science, Networks, IT Management",https://www.auckland.ac.nz/en/study/study-options/find-a-study-option/master-of-information-technology.html,"Industry-focused IT degree designed to build advanced technical skills, critical thinking, and business awareness for ICT careers.",
MSc Computer Science - Data Analytics,University of Galway,Galway,Galway,Ireland,Master,12,28640,EUR,annual,English,"Data Analytics, Machine Learning, Statistical Methods, Big Data, Business Intelligence",https://www.universityofgalway.ie/courses/taught-postgraduate-courses/computer-science-data-analytics.html,Data analytics focused computer science master covering modern analytical methods and technical skills with strong industry relevance.,
MSc Computer Science (Negotiated Learning),University College Dublin,Dublin,Leinster,Ireland,Master,12,15440,EUR,annual,English,"Flexible Module Selection, AI, Cybersecurity, Data Science, Software Engineering",https://www.ucd.ie/graduatestudies/coursefinder/taughtprogrammes/msc-in-computer-science-negotiated-learning,"Flexible computer science master for students with ICT background, allowing customized module selection based on career goals.",
Master of Informatics,Kyoto University,Kyoto,Kyoto,Japan,Master,24,535800,JPY,annual,English,"Intelligence Science, Social Informatics, Mathematical Informatics, Systems Science, Bioinformatics",https://www.i.kyoto-u.ac.jp/en/education/prospective/master,"Graduate informatics study at one of JapanŐs top research universities, with broad research-driven computing opportunities.",
Master of Science and Engineering (Computer Science and Communications Engineering),Waseda University,Tokyo,Tokyo,Japan,Master,24,1235000,JPY,annual,English,"Computer Science, Communications Engineering, Embedded Systems, Signal Processing, AI",https://www.waseda.jp/fsci/en/graduate/graduate-education/english-based-graduate-program/master,English-based graduate study in science and engineering with computer science and communications engineering pathways.,
Master's in Artificial Intelligence,Utrecht University,Utrecht,Utrecht,Netherlands,Master,24,25306,EUR,annual,English,"Intelligent Systems, Machine Learning, Cognitive Science, Natural Language Processing, Computer Vision",https://www.uu.nl/en/masters/artificial-intelligence,"Research-oriented AI master focused on intelligent systems, algorithms, modelling, and data-driven methods.",
Master's degree in Artificial Intelligence,Universitat Politčcnica de Catalunya (UPC),Barcelona,Catalonia,Spain,Master,18,2700,EUR,annual,English,"Machine Learning, Knowledge Representation, Computer Vision, Natural Language Processing, Robotics",https://www.upc.edu/en/masters/artificial-intelligence,English-taught AI master covering core artificial intelligence topics in a technical university environment; non-EU fee shown on the official page.,
Master of Information Technology and Systems,University of Tasmania,Hobart,Tasmania,Australia,Master,24,81898,AUD,total,English,"Software Development, Systems Analysis, IT Project Management, Networks, Database Management",https://www.utas.edu.au/courses/study/master-information-technology-systems,"Industry-oriented IT program covering software, systems, and applied computing with an indicative total international tuition fee published on the official course page.",
Master of Information Technology,James Cook University,Townsville,Queensland,Australia,Master,24,32168,AUD,annual,English,"Software Engineering, Networking, IT Management, Cybersecurity, Database Systems",https://www.jcu.edu.au/courses/master-of-information-technology,IT master's program focused on advanced technical and professional skills; official page shows estimated annual tuition for 2026.,
Master of Data Science,Adelaide University,Adelaide,South Australia,Australia,Master,24,54900,AUD,annual,English,"Statistical Analysis, Machine Learning, Data Visualisation, Biostatistics, Business Analytics",https://www.adelaide.edu.au/degree-finder/mads_mds.html,"Data science master's program covering analysis, visualisation, and applied data problem-solving; official page shows 2026 published fee for international students.",
Master of Information Technology,University of Wollongong,Wollongong,New South Wales,Australia,Master,24,85536,AUD,total,English,"IT Management, Business Systems, Software Development, Networks, Database Administration",https://www.uow.edu.au/study/courses/master-of-information-technology/,IT master's program with a strong focus on implementation and application of IT in business and organisations.,"Official UOW fee table lists $21,384 session fee and $85,536 total course fee for 2026."
Master of Data Science and Innovation,University of Technology Sydney,Sydney,New South Wales,Australia,Master,24,74581,AUD,total,English,"Data Analytics, Innovation Management, Machine Learning, Data Visualisation, Business Intelligence",https://www.uts.edu.au/study/find-a-course/courses/c04417,"World-leading data science and innovation program combining analytics, technical skills, and innovation practice.","UTS page lists an indicative total tuition fee of $74,581."
Master of Data Science,Deakin University,Melbourne,Victoria,Australia,Master,24,34400,AUD,annual,English,"Machine Learning, Predictive Analytics, Data Engineering, Business Intelligence, Deep Learning",https://www.deakin.edu.au/course/master-data-science,"Data science degree focused on analytics, machine learning, and modern data-driven decision making.","Deakin page lists an estimated tuition fee of $34,400 for 1 year full-time."
Master of Data Science,Memorial University of Newfoundland,St. John's,Newfoundland and Labrador,Canada,Master,12,2218,CAD,per_term,English,"Data Science, Machine Learning, Statistical Modelling, Data Wrangling, Applied Analytics",https://www.mun.ca/computerscience/programs/graduate/masters/ms-data-science,One-year data science master's program; official page publishes international tuition as a per-semester range.,"Official Memorial data science page lists international tuition of $1,074-$2,218 per semester plus a special fee."
Master of Science in Software Engineering,Memorial University of Newfoundland,St. John's,Newfoundland and Labrador,Canada,Master,24,9666,CAD,total,English,"Software Architecture, Agile Development, Software Testing, Requirements Engineering, Cloud Systems",https://www.mun.ca/computerscience/programs/graduate/masters/ms-software-engineering,Software engineering master's option using the published international total program fee for 2-year master's programs.,"Official Memorial graduate tuition page lists a total international program fee of $9,666 for MSc Software Engineering."
Master of Science in Computer Science,Toronto Metropolitan University,Toronto,Ontario,Canada,Master,24,28043.84,CAD,annual,English,"Algorithms, Machine Learning, Distributed Systems, Software Engineering, Computer Vision",https://www.torontomu.ca/graduate/programs/computer-science/,Research-focused computer science master's degree; published fee shown on the graduate tuition page.,
Master of Science in Data Science and Analytics,Toronto Metropolitan University,Toronto,Ontario,Canada,Master,24,28043.84,CAD,annual,English,"Data Mining, Machine Learning, Statistical Analytics, Big Data, Business Intelligence",https://www.torontomu.ca/graduate/programs/data-science-analytics/,Data science and analytics master's degree with published graduate program fee on TMU's tuition page.,
Master of Engineering,Ontario Tech University,Oshawa,Ontario,Canada,Master,24,42572.11,CAD,annual,English,"Engineering Management, Systems Engineering, Technology Leadership, Project Management, Innovation",https://engineering.ontariotechu.ca/graduate/programs/master-of-engineering.php,Engineering master's option using Ontario Tech's published international total program fee for the fee-per-credit MEng structure.,
Master of Science in Data and Society,Technical University of Munich,Munich,Bavaria,Germany,Master,24,12000,EUR,annual,English,"Data Ethics, Digital Society, AI Policy, Social Data Analysis, Digital Transformation",https://www.cit.tum.de/en/cit/studies/masters-programs/data-science-and-society,"Interdisciplinary data-focused master's degree combining analytics, society, and digital transformation.",
Master of Science in Data Science,University of Augsburg,Augsburg,Bavaria,Germany,Master,24,0,EUR,total,English,"Machine Learning, Statistical Learning, Data Engineering, Big Data, AI Applications",https://www.uni-augsburg.de/en/study/programs/data-science-master,English-taught data science master's program with no tuition fee stated for students.,
Master of Artificial Intelligence & Data Science,Frankfurt School of Finance & Management,Frankfurt,Hesse,Germany,Master,24,35500,EUR,annual,English,"Applied AI, Machine Learning, Business Analytics, Deep Learning, Data-Driven Decision Making",https://www.frankfurt-school.de/en/home/programmes/master/ai-ds,Private-university master's program focused on applied AI and data science with strong quantitative and business orientation.,
Master of Information Technology,University of Waikato,Hamilton,Waikato,New Zealand,Master,18,69020,NZD,annual,English,"Software Engineering, IT Management, Cybersecurity, Networking, Data Science",https://www.waikato.ac.nz/study/qualifications/master-of-information-technology,Joint ICT Graduate School program focused on producing industry-ready ICT graduates; row uses the published 180-point international fee.,
MSc Computing Science,University College Cork,Cork,Munster,Ireland,Master,12,28000,EUR,annual,English,"Software Development, AI, Data Science, Human-Computer Interaction, Distributed Systems",https://www.ucc.ie/en/ckr46,One-year computing science master's program with published non-EU fee.,
MSc Software Engineering,University of Limerick,Limerick,Munster,Ireland,Master,12,20100,EUR,annual,English,"Software Architecture, Agile Methods, Software Testing, Cloud Development, DevOps",https://www.ul.ie/courses/msc-software-engineering,Software engineering master's program using UL's published international postgraduate fee.,
MSc Artificial Intelligence,Munster Technological University,Cork,Munster,Ireland,Master,12,15000,EUR,annual,English,"Machine Learning, Deep Learning, Computer Vision, NLP, AI Ethics",https://www.mtu.ie/courses/msc-in-artificial-intelligence,AI master's option using MTU's published non-EU postgraduate fee for MSc Artificial Intelligence.,
Master's Program in Computer Science,University of Tsukuba,Tsukuba,Ibaraki,Japan,Master,24,535800,JPY,annual,English,"Algorithms, Distributed Systems, AI, Software Engineering, Computer Networks",https://www.tsukuba.ac.jp/en/academics/graduate-school-of-science-and-engineering/master-program-in-computer-science,Computer science master's program in an English-accessible graduate school environment; tuition aligned with the university's published annual graduate tuition.,
